mesocosm,depth_cm,depth_abstract,type,olivine_size,Oltreat,plant,plant_yesno,Al_ppm,Ba_ppm,Co_ppm,Cr_ppm,Fe_ppm,Mg_ppm,Mn_ppm,Ni_ppm,Sr_ppm,Zn_ppm
1,-2,surface,mesocosm,coarse,ol_yes,Barley,plant_yes,22094.6354987706,189.122362094299,34.6253679660519,525.301978874134,23092.6031574001,105413.73076069,1148.52397754336,635.669311265311,70.3676140147287,45.4259309420085
1,-10,middle,mesocosm,coarse,ol_yes,Barley,plant_yes,20537.8987831052,252.255075543838,8.0709296649046,45.4407965665544,10567.2978544157,1454.97883124769,201.373725812314,10.118216588289,71.663676425757,51.3498350709844
1,-18,bottom,mesocosm,coarse,ol_yes,Barley,plant_yes,14417.1170765212,195.956953585875,5.34203190586359,39.1964232022002,9456.75469531955,584.117126551388,156.989978801758,5.70104083844165,69.6332839700852,53.0159393087593
2,-2,surface,mesocosm,fine,ol_yes,Barley,plant_yes,27062.167536821,209.67925720225,31.2640468281822,619.676866314582,20608.6430523376,87966.8939680246,406.560775067863,545.580387632701,77.3214306566735,52.4964717163945
2,-10,middle,mesocosm,fine,ol_yes,Barley,plant_yes,13856.0277423966,216.901498468341,7.5242301535911,37.4154105428508,10688.612084972,1168.64283985091,189.401030824297,8.19167887335634,61.7278588281158,44.4073367772279
2,-18,bottom,mesocosm,fine,ol_yes,Barley,plant_yes,17437.394174886,241.903686670627,8.55932878663774,45.5272687592345,12483.3946378391,975.221500670931,309.495876192611,11.1876930389828,72.3763831383171,77.9035402135118
3,-2,surface,mesocosm,fine,ol_yes,Wheat,plant_yes,27966.4080814848,227.810976233244,28.8450333999888,554.000700539255,19383.0898709123,77324.2581227551,393.442121892665,479.043286899584,79.7293300747821,55.62024943641
3,-10,middle,mesocosm,fine,ol_yes,Wheat,plant_yes,22851.4131675233,283.776920782777,8.13883807568981,56.2268285723186,11360.5129167661,2331.72251325287,274.999482384751,8.8405419243312,66.2243111331384,59.0558998364469
3,-18,bottom,mesocosm,fine,ol_yes,Wheat,plant_yes,20578.0815323289,247.25925085053,9.47442802213749,57.4455715526083,11821.6123148515,1468.50670456251,292.411410284273,12.4408090985206,67.798821704496,48.4646261059639
4,-2,surface,mesocosm,fine,ol_yes,Wheat,plant_yes,28885.6321955826,223.046159336394,25.4770950914061,476.743563207807,18857.0795498515,68124.8310183865,400.998780391467,418.097643101106,83.2209948803334,56.0266000136183
4,-10,middle,mesocosm,fine,ol_yes,Wheat,plant_yes,17953.3188451253,245.218329728037,8.10768456767913,54.2673609488207,11175.8136290764,1901.97631511032,230.418199471588,8.37379914640445,68.0482120887249,54.6264261547762
4,-18,bottom,mesocosm,fine,ol_yes,Wheat,plant_yes,18808.2479300539,316.721399015828,18.0193135562598,50.7615804167226,15826.4190135504,979.531287484034,1660.70293430097,9.44354165059343,72.6835309592993,60.7408546406192
5,-2,surface,mesocosm,fine,ol_yes,Wheat,plant_yes,27025.7293044229,204.354797349462,31.5651808217406,641.822275101815,21176.5285800369,89844.5694895351,414.792660034027,545.97461670869,82.6843496705663,75.0250641414336
5,-10,middle,mesocosm,fine,ol_yes,Wheat,plant_yes,16545.2788332126,237.226250037508,7.46298868904889,50.9142409588078,13362.6983682168,1600.29463475635,199.745311783862,9.79904162649907,64.2525103846078,51.1578397878372
5,-18,bottom,mesocosm,fine,ol_yes,Wheat,plant_yes,29291.8996655621,221.697902296346,17.1840697360465,273.245511429568,14845.9111723137,37148.2427316341,261.435249019867,224.739050609241,76.9356993285019,65.171487061874
6,-2,surface,mesocosm,fine,ol_yes,Wheat,plant_yes,24960.9180388595,194.33178038247,32.7115162534861,653.743605147078,21698.5386088901,94929.4512988391,409.42501954583,582.202697124356,121.338587720104,47.2511945742024
6,-10,middle,mesocosm,fine,ol_yes,Wheat,plant_yes,29935.7071578258,233.773183924252,8.70766354003322,79.0673117950166,12284.4967323899,6747.34987762405,273.563927954652,31.2118006843294,86.3067850606331,187.293366514075
6,-18,bottom,mesocosm,fine,ol_yes,Wheat,plant_yes,20278.2988169078,227.315965347241,7.11206847089502,49.140015916218,10682.3877019157,851.014205385349,221.15111120556,6.62434571523682,74.8775154938101,48.9504755599641
7,-2,surface,mesocosm,none,ol_no,Wheat,plant_yes,27990.2721410687,235.205747674544,7.55739638605672,54.714544903106,12809.2822793623,1588.15630228704,301.556760894382,8.83550862000597,89.4090331320029,76.1168314200511
7,-10,middle,mesocosm,none,ol_no,Wheat,plant_yes,19744.8803628287,237.457019815364,7.42769734012803,37.7549667462938,10108.4992218034,898.068035886582,239.893234930364,6.2813932557456,62.3605898510038,50.3182071117091
