Container;treatment;rain;olivine;crop;olivine_yesno;plant_yesno;replica;depth;daysafterseeding;date;Unique_ID;Mg_umol_l;DSi_umol_l;Cr_nmol_l;Ni_nmol_l;DIC_umol_kg;water_outflow_ml;water_outflow_measurement_date;pH_NBS;pH_remarks;pH_measurement_date
1;Mesocosm;Continuous;coarse;Barley;ol_yes;plant_yes;5;1;7;28-Oct-2013 00:00:00;2013-10-28_01.1;1513.268875;146.1608303;NaN;NaN;NaN;6;28-Oct-2013 00:00:00;7;;28-Oct-2013 00:00:00
2;Mesocosm;Continuous;fine;Barley;ol_yes;plant_yes;4;1;7;28-Oct-2013 00:00:00;2013-10-28_02.1;5858.876774;66.86724466;168.711999;1187.768867;NaN;17;28-Oct-2013 00:00:00;6.1;;28-Oct-2013 00:00:00
3;Mesocosm;Continuous;fine;Wheat;ol_yes;plant_yes;1;1;7;28-Oct-2013 00:00:00;2013-10-28_03.1;8475.6223;59.06962668;187.104231;1576.966085;NaN;35;28-Oct-2013 00:00:00;6.9;;28-Oct-2013 00:00:00
4;Mesocosm;Continuous;fine;Wheat;ol_yes;plant_yes;3;1;7;28-Oct-2013 00:00:00;2013-10-28_04.1;6574.778852;65.54983888;188.9205646;1580.880767;NaN;26;28-Oct-2013 00:00:00;6.8;;28-Oct-2013 00:00:00
5;Mesocosm;Continuous;fine;Wheat;ol_yes;plant_yes;2;1;7;28-Oct-2013 00:00:00;2013-10-28_05.1;8224.645135;54.93938153;165.8259612;1608.02877;NaN;51;28-Oct-2013 00:00:00;7;;28-Oct-2013 00:00:00
6;Mesocosm;Continuous;fine;Wheat;ol_yes;plant_yes;5;1;7;28-Oct-2013 00:00:00;2013-10-28_06.1;8858.259617;49.06446387;227.4114638;1760.111667;NaN;33;28-Oct-2013 00:00:00;6.5;;28-Oct-2013 00:00:00
7;Mesocosm;Continuous;none;Wheat;ol_no;plant_yes;5;1;7;28-Oct-2013 00:00:00;2013-10-28_07.1;780.49784;152.4274092;NaN;NaN;NaN;1;28-Oct-2013 00:00:00;6.4;;28-Oct-2013 00:00:00
8;Mesocosm;Continuous;none;Wheat;ol_no;plant_yes;2;1;7;28-Oct-2013 00:00:00;2013-10-28_08.1;914.62662;131.9186057;59.80806591;37.94801585;NaN;31;28-Oct-2013 00:00:00;7;;28-Oct-2013 00:00:00
9;Mesocosm;Continuous;coarse;Barley;ol_yes;plant_yes;5;1;7;28-Oct-2013 00:00:00;2013-10-28_09.1;1579.921827;142.6002742;96.45005585;246.8684076;NaN;22;28-Oct-2013 00:00:00;6.9;;28-Oct-2013 00:00:00
10;Mesocosm;Continuous;fine;Barley;ol_yes;plant_yes;2;1;7;28-Oct-2013 00:00:00;2013-10-28_10.1;5788.932318;54.65453704;178.5466216;1289.528381;NaN;30;28-Oct-2013 00:00:00;6.7;;28-Oct-2013 00:00:00
11;Mesocosm;Continuous;fine;Barley;ol_yes;plant_yes;3;1;7;28-Oct-2013 00:00:00;2013-10-28_11.1;10635.67167;66.11952787;NaN;1683.77297;NaN;17;28-Oct-2013 00:00:00;7;;28-Oct-2013 00:00:00
12;Mesocosm;Continuous;coarse;Wheat;ol_yes;plant_yes;1;1;7;28-Oct-2013 00:00:00;2013-10-28_12.1;1609.956799;135.9776397;78.46995271;399.3417593;NaN;20;28-Oct-2013 00:00:00;7.1;;28-Oct-2013 00:00:00
13;Mesocosm;Continuous;none;Barley;ol_no;plant_yes;4;1;7;28-Oct-2013 00:00:00;2013-10-28_13.1;637.7288624;123.693721;66.99934637;69.51086455;NaN;27;28-Oct-2013 00:00:00;6.8;;28-Oct-2013 00:00:00
